# JD,Apparent magnitude,Apparent magnitude error
2458208.63577192,16.372324119259744,0.35206668122786616
2458209.35919244,16.10770471650678,0.2237245031082137
2458209.63948981,15.552367916444926,0.1734356358985954
2458210.284937,15.410969713753065,0.10532754948171948
2458210.64304225,15.16710082554087,0.10393843196778223
2458210.83200064,15.305316765392256,0.12097051323614205
2458211.01657968,15.010855953420165,0.08047434012154188
2458211.67313301,14.590060904919909,0.05491813865392951
2458211.85483483,14.560450024046062,0.06042058938971341
2458212.63401468,14.174046535162564,0.05624280328400747
2458213.00922865,14.107655128009785,0.03002822017430835
2458213.6304836,13.834402154477914,0.05466780383132862
2458214.10691076,13.755044896380719,0.036959196231002564
2458214.63918531,13.583308835221743,0.042509477513016196
2458215.63722481,13.3665025084093,0.04156380450223895
2458216.52079582,13.2305642727428,0.029666882771164384
2458216.76097209,13.236728375143754,0.10663725038350945
2458217.49985304,12.22700237221161,1.9084703322319843
2458217.78885381,13.135152024325041,0.08136583864014682
2458218.06452749,nan,nan
2458218.10131983,13.119157260008468,0.02980883649180768
2458218.48028838,12.71304369119714,1.527149469375793
2458218.61503406,12.985758767679929,0.2802084293305081
2458220.31360765,13.066515754328135,0.04913247381678216
2458220.76455078,12.927066685965759,0.030331213855515824
2458221.62497809,12.899342116339152,0.04059159496521367
2458222.60926354,12.900595163038295,0.04090949928316291
2458223.3034209,13.030127853285155,0.049209333447209465
2458223.60451263,12.937573518498581,0.04694046907065695
2458224.24046587,12.99942357098985,0.029441740786016666
2458224.6104834,12.975651280206199,0.09672027058104885
2458225.09739469,13.014779320893908,0.06439364067928945
2458225.61240338,12.998525013012053,0.0701310512249856
2458226.83174291,13.066347918141853,0.04055683316418173
2458227.28005079,13.126335489986237,0.04438456651019439
2458227.76720353,13.084421460996053,0.28057696134532784
2458229.07458064,13.208851588294289,0.045330527790498676
2458229.60029551,13.177253683994337,0.051455392768090844
2458230.79789461,13.34411933553249,0.05330262674027879
2458231.57668535,13.434658688544001,0.3485525803675116
2458232.05590653,13.463469817207095,0.04599958100524879
2458233.06511333,13.566776504621057,0.034545519392892986
2458233.78065435,13.59266203901564,0.3665721196936835
2458234.24229258,13.670858637516993,0.06771525685261905
2458235.57409897,13.635614689084093,0.041967052147556784
2458236.05145162,13.739737014492635,0.054768909638068936
2458236.55754115,13.76103492345747,1.044021875945708
2458237.25300203,13.84486382292722,0.07148873968754325
2458238.20643201,13.833474546411901,0.04964339071166019
2458238.56984561,13.81368032430095,0.12042456134494395
2458242.55873227,13.897038421858053,0.053489814310028375
2458243.26587757,13.96069666247835,0.035236206916963456
2458243.55591168,13.931675455242223,0.04683262439605841
2458244.5644296,14.009118739118879,0.06408328318527053
2458245.23928098,14.031229120485365,0.04885617742900704
2458246.24951538,14.058715549700077,0.051206549657669374
2458247.19849288,14.146622515419445,0.041527657322931094
2458248.03266133,14.18440999941867,0.04213083952371361
2458249.02880163,14.249522763122174,0.01937750776683115
2458249.53825307,14.333985787707789,0.1079523818475828
2458250.53688881,14.395893637492957,0.05389383293133297
2458251.22264323,14.441958674942782,0.04489671389872147
2458251.53040684,14.419043091299708,1.44567075228968
2458252.20986163,14.498905423075845,0.04428880481471774
2458253.01907031,14.582490196283882,0.4465323499174081
2458253.53029515,14.66662700899926,0.40563633794240733
2458254.52172014,14.740945407650138,0.3731976635476748
2458255.20834512,14.707058352918892,0.03912254090951656
2458255.74484534,14.742610696178428,0.034016234925043506
2458256.18971674,14.752803075857134,0.21445117175808398
2458256.74681233,14.817613220550532,0.030510099353522568
2458257.21533821,14.808645413417828,0.05673925646425559
2458257.52347796,14.846341564357235,0.048650192280791725
2458258.20034601,14.869399994216678,0.032846097546259376
2458258.52226285,14.902688694059195,0.05023590531949594
2458259.19039108,14.981276902672725,0.09351864442235693
2458259.51794727,14.935645264033788,0.023680260951328826
2458260.11538817,14.991990529931766,0.028287082282727583
2458260.51178882,14.944053998534367,0.051221372900830064
2458260.98850786,15.011535175075547,0.039639559545689436
2458261.5104601,15.007698224503216,0.0696077429956684
2458262.19201352,15.061686665577554,0.06537823765074705
2458262.50658457,15.058884397704968,0.05532753418960474
2458263.50491117,15.225353152764619,0.1996843250128096
2458265.6964596,15.189627508401019,0.05543722340449959
2458266.49634472,15.256838773915483,0.08942992268612865
2458268.1743662,15.230389049023504,0.0933194582465227
2458269.19113851,15.351817285986955,0.0741608255353222
2458269.97306854,15.317456055019441,0.05199952585691009
2458270.97027068,15.435505509094176,0.09791122445778434
2458272.17523192,15.472400636229002,0.0627131268433175
2458272.4786446,15.45829128275207,0.21262497294376634
2458273.61563747,15.49434176908078,0.04788422520892707
2458274.4769263,15.499002721046331,0.048406504885897386
2458276.66254022,15.59336698222184,0.0559073813987903
2458277.47669252,15.604626693496684,0.047999765498940215
2458278.16114637,15.76930413383344,0.08801012773084128
2458278.60108082,15.631025237454292,0.0726625990796831
2458278.65861535,15.416210930027631,0.15298476305298378
